inputID,input,task,source
sa13,"The Echo Pop in Midnight Teal is a remarkable compact smart speaker that seamlessly blends style and functionality. Designed to fit effortlessly into any space, this speaker boasts a full sound experience that is bound to captivate your senses. With built-in Alexa integration, it offers a world of convenience and entertainment at your fingertips.The first thing that catches your eye is its stunning Midnight Teal color, adding a touch of elegance to any room. The compact design doesn't compromise on sound quality, delivering rich and clear audio that belies its size.Equipped with Alexa, Amazon's virtual assistant, the Echo Pop becomes your personal concierge. Whether you want to play your favorite tunes, set reminders, check the weather, or control smart home devices, Alexa is ready to assist. The hands-free voice control offers a seamless experience, making your daily tasks effortless and enjoyable.Despite its compact form, the Echo Pop's sound performance is impressive. It fills the room with a vibrant sound that enhances your music, podcasts, or even conference calls. The versatile speaker is equally at home delivering energetic beats or mellow melodies, ensuring you enjoy your audio content to the fullest.Setting up the Echo Pop is a breeze, and its compatibility with various streaming services ensures you can enjoy your preferred content without limitations. The sleek touch controls on the top of the speaker add a modern touch, allowing you to adjust volume, skip tracks, or mute the microphone with a simple tap.The Echo Pop's connectivity options are comprehensive, with Bluetooth and Wi-Fi enabling effortless pairing with your devices. The speaker can also be part of a multi-room audio setup, creating an immersive experience throughout your home.In conclusion, the Echo Pop in Midnight Teal is a masterful blend of design and functionality. Its compact size, full sound capabilities, Alexa integration, and versatile connectivity options make it a standout smart speaker. Whether you're a music enthusiast, a smart home aficionado, or simply looking to elevate your audio experience, the Echo Pop is a compelling choice that combines aesthetics and technology flawlessly.",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
sa14,"For the size, the sound is really good. This is my first use of a this kind of gadget so I haven't really explore all functionalities. I think I am still getting use with Alexa speaking every time there's an activity. ^_^",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
sa15,"It seems to work very well. I have bought some Moross smart plugs to go with it to control a number of different devices and they were all easy to set up. The Echo Pop communicates well with them, even in other rooms. Very happy with it.",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
sa16,"Easy to setup and responds much better than my old Google Home device. Only wish more names were allowed than the 5 it comes with. Having a British male as a voice is great, we order a butler around rather than a female!",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
sa17,"I got an echo pop to test out as they were only 20 bucks. It's a great product. You can control all smart devices and use apps like Spotify from it. You can even set alarms, reminders and it notifies you of your notifications and makes calls etc if you upload your contacts. Fantastic product.",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
sa18,"I like it. It’s a cute little speaker. I’ve popped it on my bedside so I can control my Philips Hue lights easily and play rain sounds etc for sleep, alarms and notification’s.As expected, It is not super powerful but it has a nice crisp sound and decent volume.Connected fine, painless setup.Picks up and understands my voice well.You can easily turn off the listening part of the device if you need privacy.",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
sa19,"The echo pop just replaced my google mini. I purchased the Echo pop with a low expectation of its sound quality and expected it to sound very thin like the google mini. However I was surprised by the decent bass this tiny speaker is capable of pumping out! You can use the equilizer in the settings to add more bass if you wish. Yes the speaker is very directional, but like in my case, it's ideal for an office table. Alexa as always is very responsive and the light bar is attractive. I wish there was a setting to keep the status light on like a night light, hopefully they will add a feature like that in the future. Overall really happy with my purchase!",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
sa20,"Have so enjoyed having this in our home, Our first experience of Alexa and our grandkids love it too.",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
sa21,Love my new Echo Dot. Thank you Amazon.,sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
sa22,"I love my echo pop. I used it for music, audible stories, setting alarms. Checking weather etc.",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
sa23,"My AJAX ECO Multi-purpose Antibacterial Wipes (110 wipes) arrived on time and are in good condition. Thanks to Amazon (Au) for speedily dispatching my order and Amazon Logistics for their fast doorstep delivery.I purchased this pack of AJAX SINGLE wipes in a ""you beat"" Amazon Deal. Usually, I shop for the least expensive alternative as they are a relatively homogeneous product: they contain similar quantities of the active antibacterial ingredient. I purchased this pack in June 21 and the expiry date is in October 22.AJAX ECO wipes are significant different in that the base cloth material is manufactured from environmentally sustainable bamboo. Most other brands of antibacterial wipes use a synthetic material with potential pollution issues. AJAX wipes will compost down and add to soil fertility.AJAX wipes come in sealed plastic packs with a flip top dispenser. The seal underlying the flip top dispenser helps to keep the wipes fresh by retaining the enclosed disinfectant liquid. Before use, peel the seal away,  don't discard but reseal after each use to help maintain freshness. Also, remember to keep the dispenser top closed to further help retain freshness, when not in use. I find that frequent brief multiple daily turning (dispenser closed) of the pack assists in keeping the wipes evenly moist, particularly when numerous wipes still remain.Every AJAX ECO antibacterial wipe is for SINGLE USE ONLY and are definitely NOT FLUSHABLE (eg via the toilet). Each wipe has the approx dimensions 22.5cm × 17cm. I find that each wipe has sufficient moisture to clean and treat a dry sealed area (counter top) of approx 1.5 square metres. However, the wipes contain insufficient moisture to dissolved or loosen dried accumulated food deposits. Also, the wipes don't remove most stains (eg cordial or tea). The integrity of the cloth is maintained throughout use. There are no apparent residues or lint on surfaces after use.I use these wipes daily to clean and disinfect counter tops (kitchen and bathroom) and water taps, door handles, remote controls and mobile phones. I, also, use them for small clean-ups in the bathroom (toilet pan , cistern, seat and floor), wiping out home bins and lined cupboards.AJAX ECO wipes effectively clean and bacterially disinfect surfaces. The wipes are, also, very convenient for quick clean-ups.",sentiment analysis,https://www.amazon.com.au/product-reviews/B087C2Y1K3/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa24,i love these wipes and i’ve been getting them for ages on subscription but omg! my recent renewal cost more than double my last one!!,sentiment analysis,https://www.amazon.com.au/product-reviews/B087C2Y1K3/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa25,"i love how these are biodegradable and they work perfect but they are pretty dry and they don't really go THAT far wet, but if you spray extra disinfectant you can make it last longer and super convenient to just toss out all the dust or when dealing with really mucky surfaces. I would not need to buy these again for a long time as i usually use cloths and reuse but for those times u just need a quick clean up these are perfect!",sentiment analysis,https://www.amazon.com.au/product-reviews/B087C2Y1K3/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa26,"Leaves streaks on granite countertops, however good for toilet seats.",sentiment analysis,https://www.amazon.com.au/product-reviews/B087C2Y1K3/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa27,"These certainly do the job of cleaning, but the scent is a bit much and is rather artificial.",sentiment analysis,https://www.amazon.com.au/product-reviews/B087C2Y1K3/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa28,"I don’t generally like single use items but these are very handy to keep in the kitchen or bathroom for when you need to quickly disinfect a surface.The smell is fairly mild, and not offensive to the sensitive noses in our household. I would recommend washing your hands after use though.The packaging is easy to use, and the wipes seem to stay fresh for a long time, when when just kept on hand for the occasional task. Great value when on sale.",sentiment analysis,https://www.amazon.com.au/product-reviews/B087C2Y1K3/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa29,The wipes are not as large or as moist as the Pine-O-Cleen or Dettol wipes. I will spend a little more to get the other brand because you end up using twice as much product because the wipes aren't big enough or aren't moist enough.,sentiment analysis,https://www.amazon.com.au/product-reviews/B087C2Y1K3/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa30,Excellent,sentiment analysis,https://www.amazon.com.au/product-reviews/B087C2Y1K3/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa31,Good product at a good price,sentiment analysis,https://www.amazon.com.au/product-reviews/B087C2Y1K3/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa32,"I like the scent and it doesn't smell cheap like some home brand wipes. Also, the degree of saturation is just right, not too wet, not too dry. However, the wipes are too small in my opinion and their price cannot be justified. Would purchase again if the price is cheaper (bought it for ~$5 last time).",sentiment analysis,https://www.amazon.com.au/product-reviews/B087C2Y1K3/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa33,"The plastic packaging around the book was ripped a bit and as a result of that, the corner that the plastic was ripped in was a bit folded. Although it’s not a big issue, the book should still come in great condition since it’s new. I don’t mind it that much but some people might.",sentiment analysis,https://www.amazon.com.au/product-reviews/1847941834/ref=acr_dpx_hist_3?ie=UTF8&filterByStar=three_star&reviewerType=all_reviews#reviews-filter-bar
sa34,"Though well-written, this book seems to be more of a rather premature autobiography of a 20-something year old wealthy white male.Granted, he has overcome some first-world adversity, but I found the underlying message to be repetitive and better suited to teenagers or young adults who lack drive and direction.The underlying message, over and over (and over) is to persist with positive behaviours and they will eventually become a habit.It is well-studied that if you repeat an action 27 days in a row, it becomes a habit. That is the general crux of this book and I thought this was something most people already knew.It also appeared to me that the author has lived quite a privileged life and doesn't seem to yet understand what lifelong adversity is via lower to middle-class cards most of us are dealt in life, so if you are 30+ and have suffered many setbacks in life because you didn't win the 'family lottery', you will likely find this book mildly irritating.I personally found this book useless as I do not lack drive or ambition at all and unfortunately can't relate to a wealthy high-school jock who hurt himself playing a notoriously dangerous sport.I'll probably keep it for when my son starts reading novels.",sentiment analysis,https://www.amazon.com.au/product-reviews/1847941834/ref=acr_dpx_hist_3?ie=UTF8&filterByStar=three_star&reviewerType=all_reviews#reviews-filter-bar
sa35,Its a good book but honestly i feel like im forcing myself to finish itIm a high achiever already and workout etc read books work on myself so maybe thats why i found it straightforward and nothing wow sorry i dont like leaving bad reviews but i just found it like this.,sentiment analysis,https://www.amazon.com.au/product-reviews/1847941834/ref=acr_dpx_hist_3?ie=UTF8&filterByStar=three_star&reviewerType=all_reviews#reviews-filter-bar
sa36,Packs knawledge but could've been 40 page max.,sentiment analysis,https://www.amazon.com.au/product-reviews/1847941834/ref=acr_dpx_hist_3?ie=UTF8&filterByStar=three_star&reviewerType=all_reviews#reviews-filter-bar
sa37,Started off ok but I lost interest about halfway through. I’ll probably go back to it though,sentiment analysis,https://www.amazon.com.au/product-reviews/1847941834/ref=acr_dpx_hist_3?ie=UTF8&filterByStar=three_star&reviewerType=all_reviews#reviews-filter-bar
sa38,There are some good points in this book but I find it pretty simplistic in that it really only seems to scratch the surface.  It would be great if it was more analytical in a psychological way.,sentiment analysis,https://www.amazon.com.au/product-reviews/1847941834/ref=acr_dpx_hist_3?ie=UTF8&filterByStar=three_star&reviewerType=all_reviews#reviews-filter-bar
sa39,Interesting!,sentiment analysis,https://www.amazon.com.au/product-reviews/1847941834/ref=acr_dpx_hist_3?ie=UTF8&filterByStar=three_star&reviewerType=all_reviews#reviews-filter-bar
sa40,I liked the part about identity. That concept caught my attention. Overall book has some good ideas. Downfall is the lack of credible sources and references. Some of the techniques are actually found to not be effective for habit building according to neuroscience research. That's one of the downfall of these pop-psychology books and blogs,sentiment analysis,https://www.amazon.com.au/product-reviews/1847941834/ref=acr_dpx_hist_3?ie=UTF8&filterByStar=three_star&reviewerType=all_reviews#reviews-filter-bar
sa41,"I have read a number of finance books by Morgan Housel, Nick Maggiulli, Andrew Craig and the likes, and this kept getting recommended to me by Amamzon so I decide to give it a go. I guess it would be interesting to some people, but for me it was so boring I gave up half way through, which is not something I normally do and would read to the end to give it the benefit of doubt, but not in this case. It seems to be well written, but it is a lifestyle improvement book and should not be recommended to anyone reading finance books, as it is really not related.",sentiment analysis,https://www.amazon.com.au/product-reviews/1847941834/ref=acr_dpx_hist_3?ie=UTF8&filterByStar=three_star&reviewerType=all_reviews#reviews-filter-bar
sa42,The pages quality is worse. Looks like a pirated copy.,sentiment analysis,https://www.amazon.com.au/product-reviews/1847941834/ref=acr_dpx_hist_3?ie=UTF8&filterByStar=three_star&reviewerType=all_reviews#reviews-filter-bar
sa43,The same as photo.,sentiment analysis,https://www.amazon.com.au/product-reviews/B09CYF8VCC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa44,"A well made product, does what it is supposed to do.",sentiment analysis,https://www.amazon.com.au/product-reviews/B09CYF8VCC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa45,Using for physio excerises. Does as intended.,sentiment analysis,https://www.amazon.com.au/product-reviews/B09CYF8VCC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa46,Quite firm,sentiment analysis,https://www.amazon.com.au/product-reviews/B09CYF8VCC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa47,I needed a softer roller for my lats. This does the job. Would buy again,sentiment analysis,https://www.amazon.com.au/product-reviews/B09CYF8VCC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa48,"Its a foam roller, what can I say? Its purple (I love purple) and its like my best friend and my worst enemy. It causes me pain and saves me pain. Just get one",sentiment analysis,https://www.amazon.com.au/product-reviews/B09CYF8VCC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa49,Product was as I ordered and very quick delivery.I feel it was good value for price.,sentiment analysis,https://www.amazon.com.au/product-reviews/B09CYF8VCC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa50,"I like this foam roller as it is a bit softer than my previous foam roller, so it is a bit gentler on your muscles…but still does the job. The diameter of this roller is 144 mm, making it a little smaller and easier to hold yourself up to roll calf muscles.",sentiment analysis,https://www.amazon.com.au/product-reviews/B09CYF8VCC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa51,Nothing - all good for purpose,sentiment analysis,https://www.amazon.com.au/product-reviews/B09CYF8VCC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa52,"I used to find it hard to walk around for more than an hour or two. My back would get sore and I would need to sit down. My trainer suggested one of these rollers. I used it twice for about 10 minutes each time. Now my back is completely normal!! I cant explain it, but its simply no longer experiencing the pain that i used to feel. It means i no longer dread going to the shops or walking anywhere for more than an hour. I will keep it should i need to other stretches, but for now its done its job.",sentiment analysis,https://www.amazon.com.au/product-reviews/B09CYF8VCC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa53,Good product,sentiment analysis,https://www.amazon.com.au/product-reviews/B0B3MJPGTY/ref=cm_cr_unknown?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar
sa54,Got these for cheaper than the supermarket brand products. So can’t complain.,sentiment analysis,https://www.amazon.com.au/product-reviews/B0B3MJPGTY/ref=cm_cr_unknown?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar
sa55,It’s soap. That’s it. Got these on a sale and they do the job.,sentiment analysis,https://www.amazon.com.au/product-reviews/B0B3MJPGTY/ref=cm_cr_unknown?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar
sa56,bigger thank i thought,sentiment analysis,https://www.amazon.com.au/product-reviews/B0B3MJPGTY/ref=cm_cr_unknown?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar
sa57,"I find this cheaper but the scent is so strong, not in a bad way thoug",sentiment analysis,https://www.amazon.com.au/product-reviews/B0B3MJPGTY/ref=cm_cr_unknown?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar
sa58,They appear to be as adverstised and am looking forward to syncing them.,sentiment analysis,https://www.amazon.com.au/product-reviews/B097QL9W35/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa59,"I like how it directs me (via the app) to the exact place of the tag.I like how it gives me distance readingsI use this Airtag to track down our cat but find if she goes to the house next door I have difficulty tracking her, so the distance is a bit limiting.I do not like the fact that when the AirTag finds her ,it does not show where on the area map, only shows how many metres away she isGenerally though it is a good product.",sentiment analysis,https://www.amazon.com.au/product-reviews/B097QL9W35/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa60,"You can only hear it if it’s very quiet, if in noisy places, almost impossible to hear. Overall great feature and nice design.",sentiment analysis,https://www.amazon.com.au/product-reviews/B097QL9W35/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa61,"Location is approximate, would be better if it also worked with Android",sentiment analysis,https://www.amazon.com.au/product-reviews/B097QL9W35/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa62,"Effortless to use, great devices",sentiment analysis,https://www.amazon.com.au/product-reviews/B097QL9W35/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa63,works - happy,sentiment analysis,https://www.amazon.com.au/product-reviews/B097QL9W35/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa64,"These are invaluable as tracking devices but if you want to use these as an anti theft tracker removing the speaker is essential but easily do-able. Problem with these devices is they can’t be shared so the family pet for example, can only be tracked by one apple account.  Family sharing I thought would have been invaluable",sentiment analysis,https://www.amazon.com.au/product-reviews/B097QL9W35/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa65,"They look great, and work well - as long as you have people with apple products passing by. I had a car parked in a car park and it did not know as for hrs no one passed close enough with an apple product to uplink the info. But all in all they are great ! especially for luggage. or tracking things in crowded places.",sentiment analysis,https://www.amazon.com.au/product-reviews/B097QL9W35/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa66,"The tags are good. Apple has one of the largest network helping to trace the items. I have attached one to my Son's school bag. I do get updates about his location but its not a continuous location tracker and may be unsuitable for tracking lost kids or pets (this is mainly due to anti stalking features). Also, it depends upon apple devices being present in the area to detect the tag. If you lose something where there is no phone coverage / apple devices, this will be of no use. The tag is not very thin (around 3 coins thick) so not suitable for placing it in men's wallet unless the wallet has a suitable cavity to accommodate it. Please consider this before buying if that's your intent. Second, there are a lot of cheap silicone keyrings available to attach these to keys and other items, however these are not reliable at all and the tag can fall out easily. You need to spend at least 20$ per tag to attach it reliably to your items. Depending upon the value, I still think this is reasonable for items such as keys and laptop backpacks, however I wish apple made the tags with a hole at least so that  it could be attached directly if needed instead of buying third party accessories. I have deducted one star for this reason.",sentiment analysis,https://www.amazon.com.au/product-reviews/B097QL9W35/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa67,Only dislike is location chime not very loud,sentiment analysis,https://www.amazon.com.au/product-reviews/B097QL9W35/ref=acr_dp_hist_4?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews#reviews-filter-bar
sa68,"Really makes a difference to all am cleaning. I used for all types dishes, bathroom, kitchen clean. Does a really good job and holds its shape very well.",sentiment analysis,https://www.amazon.com.au/product-reviews/B00J420JEC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa69,I can never go back to ordinary dish/cleaning sponges/scrubs.  This is value for money for the quality you get.  It's long lasting and does what it promises to do.  Multi-purpose so you dollars stretches further.n Great buy.,sentiment analysis,https://www.amazon.com.au/product-reviews/B00J420JEC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa70,"I bought this for my boyfriends mum because she said she wanted to try it, we all love it and will definitely buy it for myself when I move out :)",sentiment analysis,https://www.amazon.com.au/product-reviews/B00J420JEC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa71,That’s all I need to say!#dropsmic,sentiment analysis,https://www.amazon.com.au/product-reviews/B00J420JEC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa72,Revolutionaries your life with scrub daddy,sentiment analysis,https://www.amazon.com.au/product-reviews/B00J420JEC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa73,Amazing product!Definitely huge help in the cleaning!,sentiment analysis,https://www.amazon.com.au/product-reviews/B00J420JEC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa74,Really good and lasts long as well.,sentiment analysis,https://www.amazon.com.au/product-reviews/B00J420JEC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa75,"I bought 2 of the original versions, and think it was enough.The texture of this scrub is very elastic. However, it does not become as hardened as compared to the first time use, still very good so far.I use it to clean almost everything, my bathroom, bbq stove..... and it works very well. After get everything cleaned, scrub daddy itself is very easy to clean and comeback to original color.",sentiment analysis,https://www.amazon.com.au/product-reviews/B00J420JEC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa76,"Love it, don't bother with any other Srubdaddy products though, This is the only one that works.",sentiment analysis,https://www.amazon.com.au/product-reviews/B00J420JEC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
sa77,"Always have one handy, last along time too.",sentiment analysis,https://www.amazon.com.au/product-reviews/B00J420JEC/ref=acr_dpx_hist_5?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews#reviews-filter-bar
